Experiment_no,Add,MINLP,MIN_DTC,MIN_DT,TCM,Period_duration,Working_Period,No_of_robots,No_of_chargers,No_of_sensors,No_of_non_nav_tasks,No_of_nav_task,Period_divisions,Charging_time,Ebat,Edod,Emax,Usable_range,q,Q_Battery_Weight,Locomotion_Power,Robot_Speed,Max_distance,Dist_change_max,Gamma_Matrix,E_Balance_Zero,E_changeMax,Priority,Sensing_Power,Opt_max_diff,Opt_Coeff_Var,Opt_Total_Downtime,Opt_total_obj_cost,Opt_obj1,Opt_obj2,Opt_Wt_obj2,Opt_run_time,Opt_energy_effectiveness,Opt_BD_C_Edod,Opt_BD_C_Emax
1,1.0,1,1.0,1.0,,0.166666667,4,1,1,2,5,1,10,0.75,111,77.7,111.0,33.3,0,0,21,3600,{0: 200},200,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 0, (1, 3): 0, (1, 4): 1}",{0: 100.9053610476267},1.7,"{0: 0.9, 1: 0.8, 2: 0.7, 3: 0.8, 4: 1}","{0: 3.5, 1: 2.8}",0.0,0.0,10.0,8.4,8.4,4.0,0.0,0.2620413303375244,1.0505847887463555,0.0,0.0
1,,1,1.0,1.0,,0.166666667,4,3,1,2,5,2,10,0.75,111,22.2,99.9,33.3,0,0,21,3600,{0: 200},800,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1}","{0: 54.24208197191308, 1: 39.39478193039088, 2: 97.73882494934185}",6.8,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}","{0: 3.5, 1: 2.8}",17.281454269570375,7.762329004416093,0.0,0.0,0.0,17.0,0.0,0.69769287109375,1.3532019798078956,0.0,0.0
3,,1,1.0,1.0,,0.166666667,4,1,1,2,5,1,10,0.75,111,77.7,111.0,33.3,0,0,21,3600,{0: 200},800,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 0, (1, 3): 0, (1, 4): 1}",{0: 100.9053610476267},6.8,"{0: 0.9, 1: 0.8, 2: 0.7, 3: 0.8, 4: 1}","{0: 3.5, 1: 2.8}",0.0,0.0,14.99999999999904,12.6,12.6,6.0,0.0,0.4194176197052002,1.3056301500884973,0.0,0.0
4,,1,1.0,1.0,,0.166666667,4,1,1,2,5,1,10,0.75,111,77.7,111.0,33.3,0,0,21,3600,{0: 200},1100,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 0, (1, 3): 0, (1, 4): 1}",{0: 100.9053610476267},9.35,"{0: 0.9, 1: 0.8, 2: 0.7, 3: 0.8, 4: 1}","{0: 3.5, 1: 2.8}",0.0,0.0,15.0,12.6,12.6,4.0,0.0,0.2859017848968506,1.274909678029647,0.0,0.0
5,,1,1.0,1.0,,0.166666667,4,1,1,2,5,1,10,0.75,111,77.7,111.0,33.3,0,0,21,3600,{0: 200},1400,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 0, (1, 3): 0, (1, 4): 1}",{0: 100.9053610476267},11.9,"{0: 0.9, 1: 0.8, 2: 0.7, 3: 0.8, 4: 1}","{0: 3.5, 1: 2.8}",0.0,0.0,15.0,12.6,12.6,2.0,0.0,0.1581814289093017,1.171723759422533,0.0,0.0
6,,1,1.0,1.0,,0.166666667,4,1,1,2,5,1,10,0.75,111,55.5,111.0,55.5,0,0,21,3600,{0: 200},200,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 0, (1, 3): 0, (1, 4): 1}",{0: 60.9083046390202},1.7,"{0: 0.9, 1: 0.8, 2: 0.7, 3: 0.8, 4: 1}","{0: 3.5, 1: 2.8}",0.0,0.0,15.0,12.6,12.6,4.0,0.0,0.2270131111145019,1.0544023140586916,0.0,0.0
7,,1,1.0,1.0,,0.166666667,4,1,1,2,5,1,10,0.75,111,55.5,111.0,55.5,0,0,21,3600,{0: 200},500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 0, (1, 3): 0, (1, 4): 1}",{0: 60.9083046390202},4.25,"{0: 0.9, 1: 0.8, 2: 0.7, 3: 0.8, 4: 1}","{0: 3.5, 1: 2.8}",0.0,0.0,20.0,16.8,16.8,6.0,0.0,1.094740629196167,1.2190503298213742,0.0,0.0
8,,1,1.0,1.0,,0.166666667,4,1,1,2,5,1,10,0.75,111,55.5,111.0,55.5,0,0,21,3600,{0: 200},800,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 0, (1, 3): 0, (1, 4): 1}",{0: 60.9083046390202},6.8,"{0: 0.9, 1: 0.8, 2: 0.7, 3: 0.8, 4: 1}","{0: 3.5, 1: 2.8}",0.0,0.0,20.0,16.8,16.8,6.0,0.0,0.288285493850708,1.3583297527670417,0.0,0.0
9,,1,1.0,1.0,,0.166666667,4,1,1,2,5,1,10,0.75,111,55.5,111.0,55.5,0,0,21,3600,{0: 200},1100,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 0, (1, 3): 0, (1, 4): 1}",{0: 60.9083046390202},9.35,"{0: 0.9, 1: 0.8, 2: 0.7, 3: 0.8, 4: 1}","{0: 3.5, 1: 2.8}",0.0,0.0,35.0,28.7,28.7,6.0,0.0,50.03077006340027,1.5788517937813364,0.0,0.0
10,,1,1.0,1.0,,0.166666667,4,1,1,2,5,1,10,0.75,111,55.5,111.0,55.5,0,0,21,3600,{0: 200},1400,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 0, (1, 3): 0, (1, 4): 1}",{0: 60.9083046390202},11.9,"{0: 0.9, 1: 0.8, 2: 0.7, 3: 0.8, 4: 1}","{0: 3.5, 1: 2.8}",0.0,0.0,35.0,29.4,29.4,4.0,0.0,0.3545737266540527,1.7875373869611926,0.0,0.0
